epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,14907.1,0.85335,1.48757,0.54367,1.04849,0.8881,0.90479,0.92508,0.86688,0.88952,0.90623,0.92666,0.83264,0.38724,0.80314,0.42705,0.88824,0.0006272,0.0006272,0.0006272
106,15298.8,0.83824,1.46006,0.53698,1.04339,0.88108,0.91486,0.93124,0.87355,0.88621,0.92152,0.93354,0.84208,0.39342,0.80016,0.42303,0.89082,0.000614,0.000614,0.000614
107,15691.6,0.8451,1.48277,0.53701,1.03928,0.87448,0.92489,0.92926,0.86927,0.8796,0.92785,0.93134,0.84113,0.38923,0.77705,0.42115,0.89113,0.0006008,0.0006008,0.0006008
108,16080.8,0.84656,1.50359,0.55508,1.04718,0.88154,0.91279,0.92606,0.86864,0.88583,0.91809,0.9279,0.84328,0.39008,0.7618,0.41819,0.89023,0.0005876,0.0005876,0.0005876
109,16472.2,0.85814,1.53696,0.56277,1.05396,0.86342,0.91486,0.92102,0.86667,0.86614,0.91775,0.92267,0.83872,0.38918,0.75199,0.44214,0.88463,0.0005744,0.0005744,0.0005744
110,16870,0.82708,1.4599,0.52797,1.03228,0.87437,0.90388,0.92797,0.87147,0.87856,0.90821,0.93233,0.84187,0.38733,0.75135,0.43377,0.88353,0.0005612,0.0005612,0.0005612
111,17282,0.83509,1.45925,0.53648,1.03971,0.88428,0.90043,0.93125,0.87504,0.86322,0.93939,0.93352,0.85386,0.38601,0.76068,0.42921,0.88266,0.000548,0.000548,0.000548
112,17679.7,0.82857,1.45984,0.52766,1.03731,0.85944,0.94084,0.93268,0.87362,0.87468,0.93795,0.93679,0.85612,0.38579,0.7586,0.40527,0.88833,0.0005348,0.0005348,0.0005348
113,18064,0.83244,1.45169,0.52472,1.02483,0.87685,0.91438,0.92507,0.86848,0.8697,0.93362,0.92843,0.82926,0.38193,0.76756,0.42187,0.88408,0.0005216,0.0005216,0.0005216
114,18466,0.81928,1.43565,0.51002,1.03338,0.88223,0.90798,0.92988,0.87503,0.87643,0.92109,0.9331,0.85056,0.38608,0.76507,0.43064,0.88865,0.0005084,0.0005084,0.0005084
115,18878.6,0.82525,1.44354,0.53012,1.02802,0.86725,0.93218,0.92746,0.87211,0.88448,0.92806,0.92967,0.83316,0.37998,0.75368,0.41197,0.88425,0.0004952,0.0004952,0.0004952
116,19299.6,0.80973,1.43415,0.52047,1.02207,0.86981,0.92551,0.92782,0.87242,0.87523,0.93128,0.93288,0.84905,0.38501,0.74774,0.40792,0.88644,0.000482,0.000482,0.000482
117,19703.5,0.80893,1.39325,0.50793,1.02957,0.86413,0.92785,0.92889,0.87246,0.87029,0.93218,0.9317,0.84478,0.3825,0.7757,0.42603,0.88695,0.0004688,0.0004688,0.0004688
118,20093.7,0.8024,1.40546,0.52133,1.02343,0.87248,0.92496,0.92546,0.87041,0.87735,0.93074,0.92868,0.84444,0.37554,0.75068,0.4121,0.87896,0.0004556,0.0004556,0.0004556
119,20499.5,0.81508,1.43082,0.53056,1.02456,0.86759,0.91198,0.92285,0.86709,0.87308,0.91775,0.92641,0.84944,0.38149,0.76976,0.42626,0.8856,0.0004424,0.0004424,0.0004424
120,20890,0.81341,1.43176,0.51086,1.02635,0.88172,0.91431,0.92988,0.87477,0.88728,0.92008,0.93214,0.85652,0.38081,0.7511,0.41999,0.88348,0.0004292,0.0004292,0.0004292
121,21274.1,0.80138,1.42142,0.50487,1.02473,0.88418,0.90188,0.92816,0.87425,0.88705,0.90765,0.92956,0.84777,0.38046,0.76021,0.41457,0.88251,0.000416,0.000416,0.000416
